county_id,No. of Planned Parenthood clinics,No. of federally qualified health centers,No. of female contraceptive clients served at Planned Parenthood clinics,No. of female contraceptive clients served at federally qualified health centers,No. of female contraceptive clients served at health department clinics,No. of female contraceptive clients served at hospital-based clinics,No. of female contraceptive clients served at other clinics,No. of health department clinics,No. of hospital-based clinics,No. of other clinics,Total no. of female contraceptive clients served at publicly funded clinics,"Total no. of female contraceptive clients served at publicly funded clinics, younger than 20",Total no. of women aged 13-44 with potential demand for contraceptive services and supplies,Total no. of women aged 20-44 with potential demand for contraceptive services and supplies,Total publicly funded clinics
29109,0.0,0.0,0.0,0.0,140.0,0.0,0.0,1.0,0.0,0.0,140.0,30.0,3710.0,3100.0,1.0
29111,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1.0,100.0,40.0,1150.0,970.0,1.0
29113,,,,,,,,,,,,,6560.0,5690.0,
29115,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,100.0,30.0,1130.0,950.0,1.0
29117,0.0,0.0,0.0,0.0,130.0,0.0,0.0,1.0,0.0,0.0,130.0,40.0,1950.0,1760.0,1.0
29119,0.0,1.0,0.0,110.0,470.0,0.0,0.0,1.0,0.0,0.0,590.0,110.0,2420.0,2050.0,2.0
29121,0.0,1.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,1320.0,1110.0,1.0
29123,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,1.0,30.0,10.0,1210.0,1040.0,1.0
29125,,,,,,,,,,,,,800.0,680.0,
29127,0.0,1.0,0.0,20.0,2000.0,0.0,0.0,1.0,0.0,0.0,2010.0,500.0,3270.0,2840.0,2.0
29129,,,,,,,,,,,,,310.0,250.0,
29131,0.0,0.0,0.0,0.0,400.0,0.0,390.0,1.0,0.0,1.0,790.0,210.0,2440.0,2070.0,2.0
29133,0.0,0.0,0.0,0.0,0.0,0.0,580.0,0.0,0.0,2.0,580.0,120.0,1240.0,1060.0,2.0
29135,0.0,0.0,0.0,0.0,120.0,0.0,0.0,1.0,0.0,0.0,120.0,40.0,1620.0,1380.0,1.0
29137,0.0,0.0,0.0,0.0,50.0,0.0,0.0,1.0,0.0,0.0,50.0,10.0,730.0,620.0,1.0
29139,,,,,,,,,,,,,1040.0,890.0,
29141,0.0,1.0,0.0,60.0,170.0,0.0,0.0,1.0,0.0,0.0,230.0,100.0,1720.0,1460.0,2.0
29143,0.0,2.0,0.0,70.0,360.0,0.0,0.0,1.0,0.0,0.0,430.0,110.0,1780.0,1530.0,3.0
29145,0.0,1.0,0.0,110.0,470.0,0.0,0.0,1.0,0.0,0.0,590.0,100.0,6210.0,5350.0,2.0
29147,,,,,,,,,,,,,3720.0,3070.0,
29149,0.0,1.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,20.0,910.0,760.0,1.0
29151,,,,,,,,,,,,,1370.0,1180.0,
29153,0.0,1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,690.0,580.0,1.0
29155,0.0,1.0,0.0,10.0,280.0,0.0,0.0,1.0,0.0,0.0,290.0,70.0,1850.0,1560.0,2.0
29157,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1940.0,1660.0,1.0
29159,0.0,1.0,0.0,60.0,200.0,0.0,0.0,1.0,0.0,0.0,260.0,60.0,4880.0,4240.0,2.0
29161,0.0,2.0,0.0,50.0,0.0,0.0,1500.0,0.0,0.0,1.0,1550.0,390.0,5230.0,4570.0,3.0
29163,0.0,0.0,0.0,0.0,330.0,0.0,0.0,1.0,0.0,0.0,330.0,70.0,1590.0,1350.0,1.0
29165,0.0,1.0,0.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,0.0,12060.0,10620.0,1.0
29167,0.0,0.0,0.0,0.0,330.0,0.0,0.0,1.0,0.0,0.0,330.0,90.0,3820.0,3210.0,1.0
29169,,,,,,,,,,,,,7000.0,6190.0,
29171,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,410.0,340.0,1.0
29173,0.0,0.0,0.0,0.0,320.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,970.0,850.0,1.0
29175,0.0,0.0,0.0,0.0,440.0,0.0,0.0,1.0,0.0,0.0,440.0,130.0,2690.0,2320.0,1.0
29177,0.0,0.0,0.0,0.0,180.0,0.0,0.0,1.0,0.0,0.0,180.0,60.0,2330.0,2000.0,1.0
29179,0.0,1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,10.0,520.0,450.0,1.0
29181,0.0,1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,10.0,1310.0,1130.0,1.0
29183,1.0,1.0,2400.0,20.0,240.0,0.0,0.0,1.0,0.0,0.0,2660.0,540.0,47320.0,41310.0,3.0
29185,0.0,2.0,0.0,40.0,0.0,0.0,50.0,0.0,0.0,1.0,80.0,20.0,730.0,620.0,3.0
29186,,,,,,,,,,,,,1690.0,1430.0,
29187,0.0,0.0,0.0,0.0,0.0,0.0,650.0,0.0,0.0,1.0,650.0,150.0,6920.0,6060.0,1.0
29189,2.0,9.0,6520.0,6430.0,1120.0,2010.0,0.0,3.0,2.0,0.0,16080.0,3050.0,121420.0,106550.0,16.0
29195,0.0,1.0,0.0,60.0,400.0,0.0,0.0,1.0,0.0,0.0,460.0,140.0,2630.0,2280.0,2.0
29197,,,,,,,,,,,,,450.0,380.0,
29199,,,,,,,,,,,,,460.0,380.0,
29201,0.0,1.0,0.0,20.0,0.0,0.0,860.0,0.0,0.0,1.0,890.0,190.0,4340.0,3820.0,2.0
29203,0.0,1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,10.0,710.0,580.0,1.0
29205,,,,,,,,,,,,,550.0,460.0,
29207,0.0,2.0,0.0,80.0,0.0,0.0,500.0,0.0,0.0,1.0,570.0,150.0,2880.0,2490.0,3.0
29209,0.0,1.0,0.0,40.0,170.0,0.0,0.0,2.0,0.0,0.0,210.0,80.0,2490.0,2120.0,3.0
29211,0.0,1.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,570.0,490.0,1.0
29213,0.0,2.0,0.0,430.0,640.0,0.0,0.0,1.0,0.0,0.0,1070.0,240.0,6170.0,5320.0,3.0
29215,0.0,2.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2170.0,1810.0,2.0
29217,0.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,0.0,2.0,140.0,40.0,2130.0,1730.0,2.0
29219,0.0,1.0,0.0,20.0,580.0,0.0,0.0,1.0,0.0,0.0,600.0,100.0,3570.0,3120.0,2.0
29221,0.0,1.0,0.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,60.0,2370.0,2030.0,1.0
29223,,,,,,,,,,,,,1080.0,910.0,
29225,0.0,3.0,0.0,460.0,0.0,0.0,0.0,0.0,0.0,0.0,460.0,130.0,4030.0,3440.0,3.0
29227,,,,,,,,,,,,,170.0,140.0,
29229,0.0,1.0,0.0,10.0,200.0,0.0,0.0,2.0,0.0,0.0,210.0,50.0,1650.0,1360.0,3.0
29510,2.0,6.0,11360.0,4490.0,0.0,590.0,0.0,0.0,1.0,0.0,16430.0,2480.0,48120.0,44220.0,9.0
30001,0.0,2.0,0.0,210.0,220.0,0.0,0.0,1.0,0.0,0.0,420.0,120.0,1050.0,890.0,3.0
30003,0.0,1.0,0.0,40.0,0.0,0.0,260.0,0.0,0.0,3.0,300.0,80.0,1400.0,1220.0,4.0
30005,0.0,1.0,0.0,20.0,0.0,0.0,160.0,0.0,0.0,2.0,180.0,50.0,680.0,580.0,3.0
30007,,,,,,,,,,,,,480.0,410.0,
30009,0.0,2.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,10.0,940.0,830.0,2.0
30011,,,,,,,,,,,,,100.0,80.0,
30013,1.0,1.0,1410.0,70.0,0.0,0.0,40.0,0.0,0.0,1.0,1510.0,310.0,9400.0,8420.0,3.0
30015,,,,,,,,,,,,,550.0,470.0,
30017,0.0,1.0,0.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,110.0,1210.0,1060.0,1.0
30019,,,,,,,,,,,,,130.0,110.0,
30021,0.0,0.0,0.0,0.0,320.0,0.0,0.0,1.0,0.0,0.0,320.0,140.0,910.0,780.0,1.0
30023,0.0,1.0,0.0,160.0,90.0,0.0,0.0,1.0,0.0,0.0,240.0,60.0,760.0,670.0,2.0
30025,0.0,0.0,0.0,0.0,190.0,0.0,0.0,1.0,0.0,0.0,190.0,80.0,290.0,250.0,1.0
30027,0.0,1.0,0.0,70.0,230.0,0.0,0.0,1.0,0.0,0.0,290.0,80.0,990.0,850.0,2.0
30029,0.0,3.0,0.0,2080.0,760.0,0.0,0.0,1.0,0.0,0.0,2850.0,750.0,10590.0,9350.0,4.0
30031,0.0,3.0,0.0,360.0,0.0,0.0,4020.0,0.0,0.0,1.0,4380.0,730.0,15300.0,13780.0,4.0
30033,,,,,,,,,,,,,120.0,110.0,
30035,0.0,1.0,0.0,70.0,0.0,0.0,620.0,0.0,0.0,1.0,700.0,170.0,1510.0,1330.0,2.0
30037,,,,,,,,,,,,,70.0,60.0,
30039,,,,,,,,,,,,,250.0,200.0,
30041,0.0,1.0,0.0,60.0,0.0,0.0,540.0,0.0,0.0,2.0,600.0,200.0,1790.0,1560.0,3.0
30043,,,,,,,,,,,,,1040.0,870.0,
30045,,,,,,,,,,,,,150.0,130.0,
30047,0.0,1.0,0.0,30.0,320.0,0.0,310.0,1.0,0.0,4.0,650.0,160.0,2770.0,2380.0,6.0
30049,1.0,2.0,740.0,240.0,0.0,0.0,20.0,0.0,0.0,1.0,1000.0,240.0,7520.0,6630.0,4.0
30051,,,,,,,,,,,,,250.0,220.0,
30053,0.0,2.0,0.0,520.0,0.0,0.0,0.0,0.0,0.0,0.0,520.0,120.0,1420.0,1200.0,2.0
30055,,,,,,,,,,,,,140.0,120.0,
30057,0.0,1.0,0.0,80.0,0.0,240.0,0.0,0.0,1.0,0.0,320.0,60.0,590.0,510.0,2.0
30059,,,,,,,,,,,,,150.0,130.0,
30061,0.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,290.0,240.0,1.0
30063,1.0,4.0,2840.0,390.0,0.0,0.0,0.0,0.0,0.0,0.0,3230.0,640.0,16630.0,15020.0,5.0
30065,,,,,,,,,,,,,370.0,310.0,
30067,0.0,1.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,20.0,1480.0,1290.0,1.0
30069,,,,,,,,,,,,,40.0,30.0,
30071,,,,,,,,,,,,,340.0,280.0,
30073,0.0,1.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,1.0,40.0,10.0,580.0,500.0,2.0
30075,0.0,0.0,0.0,0.0,50.0,0.0,0.0,1.0,0.0,0.0,50.0,20.0,140.0,120.0,1.0
30077,,,,,,,,,,,,,420.0,360.0,
30079,,,,,,,,,,,,,90.0,80.0,
30081,0.0,1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,3450.0,2910.0,1.0
30083,0.0,1.0,0.0,50.0,400.0,0.0,0.0,1.0,0.0,0.0,450.0,140.0,1210.0,1060.0,2.0
30085,0.0,0.0,0.0,0.0,50.0,0.0,420.0,1.0,0.0,4.0,460.0,130.0,1220.0,1070.0,5.0
30087,0.0,1.0,0.0,20.0,210.0,0.0,270.0,2.0,0.0,1.0,490.0,170.0,910.0,770.0,4.0
30089,,,,,,,,,,,,,830.0,710.0,
30091,,,,,,,,,,,,,330.0,280.0,
30093,0.0,2.0,0.0,310.0,680.0,0.0,0.0,1.0,0.0,0.0,1000.0,250.0,3930.0,3500.0,3.0
30095,,,,,,,,,,,,,770.0,640.0,
30097,,,,,,,,,,,,,300.0,250.0,
30099,,,,,,,,,,,,,550.0,460.0,
30101,0.0,2.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,400.0,340.0,2.0
30103,0.0,0.0,0.0,0.0,180.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,50.0,40.0,1.0
30105,0.0,0.0,0.0,0.0,270.0,0.0,0.0,2.0,0.0,0.0,270.0,80.0,670.0,570.0,2.0
30107,,,,,,,,,,,,,180.0,150.0,
30109,,,,,,,,,,,,,90.0,80.0,
30111,2.0,3.0,2730.0,560.0,0.0,0.0,140.0,0.0,0.0,1.0,3430.0,810.0,19080.0,16980.0,6.0
